genes,logFC,logCPM,F,PValue,FDR
232578_at,232578_at,-1.28717014102662,8.74474091545644,268.067346187836,1.29149141405337e-28,2.61010414780187e-25
209613_s_at,209613_s_at,-1.13705083587582,8.83041779992569,264.841013634495,9.18264230274331e-25,9.27906004692211e-22
214135_at,214135_at,-0.998099414597353,8.93943030941165,314.018616929816,1.77852818855343e-21,1.16344739091685e-18
209612_s_at,209612_s_at,-0.995234775381216,8.93914162477416,291.955505726508,2.30271626109223e-21,1.16344739091685e-18
210081_at,210081_at,-1.03763386375058,8.82914519149161,568.534931910203,4.13904405768745e-21,1.67300160811727e-18
211735_x_at,211735_x_at,-0.886649216689538,9.1790653186865,159.825804669639,6.81345283789267e-21,2.29499803089685e-18
205982_x_at,205982_x_at,-0.872349849986534,9.18361046732578,175.269801180484,2.26621976638299e-20,6.54290021122861e-18
214387_x_at,214387_x_at,-0.857299574320873,9.18401734714624,163.142401282652,9.21611618742293e-20,2.32822135184772e-17
213317_at,213317_at,-0.995212260960312,8.83214685360802,359.813990904374,1.11250037015199e-19,2.49818138675241e-17
219230_at,219230_at,-0.945154650183508,8.79252839980847,243.859976510174,1.85872846427051e-17,3.7564902262907e-15
226228_at,226228_at,-0.865211232351857,8.95116567142843,141.865176132667,6.83807676287276e-17,1.25634119434235e-14
210096_at,210096_at,-0.859205180366754,8.95478997652003,159.783960957554,9.83711708374915e-17,1.65673446885475e-14
215454_x_at,215454_x_at,-0.85834853911499,8.93109940416641,424.097425627684,2.06735564114944e-16,3.21394288520233e-14
219866_at,219866_at,-0.859154226344645,8.84528092654337,455.708457586428,2.06589858379266e-15,2.98227216988927e-13
203980_at,203980_at,-0.786996001147598,8.98235295950119,189.123021297089,1.14364285922719e-14,1.54086814566543e-12
38691_s_at,38691_s_at,-0.688268863588439,9.25336051853462,122.515535676889,3.81443561207822e-14,4.8181089825063e-12
235568_at,235568_at,-0.737727171822358,8.90581325644946,345.254083489856,2.0755114623749e-12,2.4674168620351e-10
205200_at,205200_at,-0.6991543648613,8.96679931156236,440.177881666822,7.76208897947357e-12,8.71510101528671e-10
204712_at,204712_at,-0.728087102368406,8.84360891155409,75.9943474687538,1.35243788606055e-11,1.43856682512019e-09
223678_s_at,223678_s_at,-0.650058764651863,9.10371761081967,66.5291004618592,1.57352209565096e-11,1.59004407765529e-09
209875_s_at,209875_s_at,0.656654730194263,9.02191243785222,144.07322990114,4.33958470196193e-11,4.17633365841193e-09
227480_at,227480_at,-0.66710064793154,8.90021091277727,173.90233071524,2.01405596687655e-10,1.85018504957159e-08
205261_at,205261_at,-0.631254742246736,8.95950535766992,102.353776045897,6.55943713972998e-10,5.76374889538882e-08
214199_at,214199_at,-0.582533613586409,9.12526475128942,97.7263444702965,1.00432093069415e-09,8.45721917055362e-08
210299_s_at,210299_s_at,-0.645052262154029,8.87443337007141,292.694395879181,1.13087512342766e-09,9.04437399004198e-08
228979_at,228979_at,-0.636761730675992,8.90299794416592,66.7585937092048,1.16355132974315e-09,9.04437399004198e-08
244056_at,244056_at,-0.618756581703378,8.94984358966829,59.4105863793769,1.61105351803482e-09,1.20590339257347e-07
200606_at,200606_at,0.596476656450631,9.02482252522401,257.700896791246,1.87898847890557e-09,1.33789543878632e-07
228241_at,228241_at,-0.616615773424866,8.94661768979963,70.7784525893351,1.91979058509665e-09,1.33789543878632e-07
203548_s_at,203548_s_at,-0.618139985304304,8.89303588369056,207.780497190925,3.93364544912975e-09,2.64996581756374e-07
211726_s_at,211726_s_at,-0.598233047595578,8.93051955057538,244.412153254324,7.00837429714662e-09,4.56900788855913e-07
204437_s_at,204437_s_at,-0.58125752001019,8.98587940216891,100.409257227593,8.43209105502772e-09,5.32539250694095e-07
228268_at,228268_at,-0.577276407056616,8.95544764674711,244.298627525908,1.60631980011687e-08,9.83749186677636e-07
225681_at,225681_at,0.55567043796294,9.02805347835265,199.935618729305,2.00164080137477e-08,1.18979884105248e-06
209774_x_at,209774_x_at,-0.538715685350063,9.0509546055718,128.851165859777,4.02509487184807e-08,2.27962253748707e-06
212327_at,212327_at,-0.552696445141701,8.98867414655988,167.849503445574,4.06068339186218e-08,2.27962253748707e-06
205654_at,205654_at,-0.554106248533445,8.96842099476312,67.6111733036583,4.85996644587136e-08,2.65459248300162e-06
228782_at,228782_at,-0.513034257354775,9.08039671801832,42.7466425848863,1.1884102783411e-07,6.32046624349305e-06
229177_at,229177_at,-0.546223193808828,8.92678179977421,92.7987530044893,1.23289589339856e-07,6.38892974502177e-06
203914_x_at,203914_x_at,-0.541362858407471,8.92239933710451,153.212267096024,1.66931600647104e-07,8.43421912269494e-06
203549_s_at,203549_s_at,-0.537231264717219,8.93818543608193,194.973791768142,1.71734236968158e-07,8.46524129055236e-06
1555778_a_at,1555778_a_at,0.519758207483186,8.94896635644893,87.1488094335514,3.6331567537261e-07,1.74824042840011e-05
230378_at,230378_at,-0.493032818412496,9.03999284865963,68.5391775323296,5.47248419459571e-07,2.57206757145998e-05
214354_x_at,214354_x_at,-0.465772370433265,9.17222476531169,71.7558616704178,5.85610942890624e-07,2.68981753541353e-05
212328_at,212328_at,-0.488513013859072,9.04099353535985,143.54273132786,6.84427507828902e-07,3.07383998516047e-05
218835_at,218835_at,-0.428470062430001,9.3505972542188,35.9824172301687,7.86650195373588e-07,3.45613053228265e-05
201540_at,201540_at,-0.457002466540831,9.12843985082835,302.753446042478,1.4542516928766e-06,6.2532822793694e-05
214433_s_at,214433_s_at,-0.482651027951883,8.97847136575096,132.614169754394,1.72635737522948e-06,7.25444571934676e-05
213936_x_at,213936_x_at,-0.437188242208857,9.21775103814429,66.2155228817144,1.75887105516077e-06,7.25444571934676e-05
203571_s_at,203571_s_at,-0.469235795865142,9.03156987584308,173.820790795372,1.99286196920243e-06,8.05514807951621e-05
34210_at,34210_at,-0.458907614545178,9.05254376452231,191.008700460014,2.72178938892109e-06,0.000107857575588422
209116_x_at,209116_x_at,-0.4136969865065,9.29255450381236,196.099946250509,3.13150632104854e-06,0.00012170719759306
211699_x_at,211699_x_at,-0.409404896404419,9.28438388784546,198.431810134201,4.24108326285597e-06,0.00016172130706098
223343_at,223343_at,-0.46270548768099,8.95440841543454,150.139359026492,5.5501289052083e-06,0.000207718713285666
226147_s_at,226147_s_at,-0.438433781812297,9.08010215179773,39.60940648112,5.77449735506454e-06,0.000212186530083371
205382_s_at,205382_s_at,-0.443270341873882,9.05006423174795,227.149229816087,5.94591222828515e-06,0.000214583725238648
204446_s_at,204446_s_at,-0.442817050009659,9.04529294536228,148.943424464836,6.33334791060325e-06,0.000224556072409284
217232_x_at,217232_x_at,-0.399683097995124,9.29433728842535,207.472096713144,6.51856917080573e-06,0.000227138418865489
209696_at,209696_at,-0.439527051637468,9.01120809436316,100.81520961514,9.87567611589788e-06,0.000338283753054739
204661_at,204661_at,-0.423515774743722,9.09353358102519,195.560612024449,1.053793043982e-05,0.000354952623647938
212444_at,212444_at,-0.442136840522847,8.97900428549477,118.143886698058,1.1465211653992e-05,0.000379855618897013
225822_at,225822_at,-0.451287452652805,8.92009839775986,100.528284035016,1.24364924480473e-05,0.000405389536088768
209458_x_at,209458_x_at,-0.384728418117887,9.29774164114785,189.945440830719,1.37667730031385e-05,0.000441629337132426
217414_x_at,217414_x_at,-0.385194487660045,9.29018451206865,195.940026233001,1.4264567094567e-05,0.000449573526859346
214091_s_at,214091_s_at,-0.402990953953776,9.17629241553045,266.011485373223,1.44593167965648e-05,0.000449573526859346
204018_x_at,204018_x_at,-0.37737970297825,9.29708423093846,196.671227332773,2.00684898667407e-05,0.000614521485161862
223344_s_at,223344_s_at,-0.424165960884169,9.00654006429962,184.997418375227,2.0535510564927e-05,0.00061943681868235
223806_s_at,223806_s_at,-0.381761597907161,9.24071013862359,47.8616782114897,2.46862906143599e-05,0.000733691078406195
202310_s_at,202310_s_at,0.38201417531695,9.23304597241584,147.672389231806,2.55167166877888e-05,0.000747380933710452
210762_s_at,210762_s_at,-0.403784296770126,9.08919864116286,247.826818833767,2.7252710011731e-05,0.000786824670481548
209267_s_at,209267_s_at,-0.402606270367757,9.09401663703736,232.802648954843,2.77313174984068e-05,0.0007893660938631
201348_at,201348_at,-0.379395543462326,9.21384674701927,233.509165817767,3.36787194108245e-05,0.000942186749123623
204787_at,204787_at,-0.408413978664249,9.03158018709986,119.544442009981,3.40324753518182e-05,0.000942186749123623
211745_x_at,211745_x_at,-0.358809743801554,9.33889619572338,182.436955987973,3.72965726442772e-05,0.00101859963937952
211696_x_at,211696_x_at,-0.360885613271663,9.31851245871441,188.889663030206,3.88815553170225e-05,0.00104772831060937
217744_s_at,217744_s_at,0.394376852945334,9.07893720789964,177.99192795629,4.42485400165802e-05,0.00117666183386196
218723_s_at,218723_s_at,-0.369174911110222,9.20390082602581,587.337332202135,5.81335725977373e-05,0.00152581753532503
221729_at,221729_at,0.39905109849899,9.00896579269693,145.399764376313,5.92078985882101e-05,0.00153409183393298
37004_at,37004_at,-0.357162552102031,9.27637901775851,26.4284007262799,6.21498714864024e-05,0.0015899353199243
212950_at,212950_at,-0.390467416118852,9.02643711579741,117.046201739098,7.62293623696726e-05,0.00192574426686385
205569_at,205569_at,-0.372456435791374,9.13890860348703,136.201981965793,7.77462654782023e-05,0.00193981731520305
203065_s_at,203065_s_at,-0.352843743261158,9.2120070989117,252.828734369166,0.000115120765493103,0.0028373056958727
203323_at,203323_at,-0.367033547383252,9.10130818206299,219.104940860853,0.000125299180103867,0.00305095955409537
209047_at,209047_at,-0.358083739984455,9.14950119360364,178.378976700952,0.000135503748934593,0.00326015567377158
203799_at,203799_at,-0.378889660532907,8.98926420631333,282.357521413887,0.000155736016382436,0.00370285281304593
209810_at,209810_at,-0.327549943319452,9.3423145269868,30.4150083081333,0.000161989273739339,0.00380674793287446
214414_x_at,214414_x_at,-0.324960950489182,9.35576951748724,157.488733788968,0.000168407230088732,0.00391208059780835
205081_at,205081_at,-0.360719895664369,9.0934103709509,102.701823205822,0.00017125319504212,0.00393298530886504
207574_s_at,207574_s_at,-0.365188620696599,9.05998007702734,212.673256492703,0.000174762584089037,0.00396848519599936
225987_at,225987_at,-0.371255128921034,9.00724505501048,57.6417004931182,0.000188768938202084,0.00423891137896014
212097_at,212097_at,-0.339881535797831,9.221059874349,249.666446848073,0.000192155412075636,0.00426753942642704
218211_s_at,218211_s_at,-0.37096452538047,8.99593853572337,110.474347319884,0.000204446534381305,0.00449115702157194
202404_s_at,202404_s_at,0.328309213204829,9.26015920500413,137.594478435634,0.000250685937700943,0.00544770193649038
217901_at,217901_at,0.348566225688396,9.02270084560259,281.432204517962,0.000413332980354024,0.00888665907761151
203108_at,203108_at,-0.332733056903525,9.11855810625213,101.142771502973,0.000458335846158328,0.00975049205353665
201852_x_at,201852_x_at,0.313274549283819,9.26210022687448,104.575178593153,0.000469579215505377,0.00982001377329626
205624_at,205624_at,-0.34690388054605,9.01142733505634,62.1690673295098,0.000471321789218079,0.00982001377329626
206100_at,206100_at,-0.351858500813364,8.97063743185206,68.7841960887801,0.000487945103705559,0.00997673469322349
204124_at,204124_at,-0.334238249066653,9.09535758576866,54.2028055160632,0.000488716840489424,0.00997673469322349
211161_s_at,211161_s_at,0.318769763010143,9.18362420043565,108.239761405623,0.000563149787577264,0.0113812572069365
209304_x_at,209304_x_at,-0.33999291932663,9.0221277068306,202.944750217972,0.000576539363529837,0.0115364955811267
216474_x_at,216474_x_at,-0.337200670306477,9.01574601439741,70.508918358681,0.000660549781820463,0.0130655586841747
204438_at,204438_at,-0.326019990537326,9.09648314772164,103.632905852664,0.000665884485141019,0.0130655586841747
225078_at,225078_at,-0.317971553400942,9.15528546273755,240.344366077478,0.000675130413550387,0.0131196015940897
217294_s_at,217294_s_at,0.317884929289825,9.14333188603697,87.8550273696834,0.000714363233652437,0.0137497913829674
212187_x_at,212187_x_at,-0.31920029110215,9.11521490494309,115.36803630772,0.000785492544517294,0.0149762304949948
207134_x_at,207134_x_at,-0.330271435769802,9.02427916686493,70.9789187589623,0.000815153138715263,0.0153964905919958
210809_s_at,210809_s_at,0.304518898395435,9.2175316562687,80.9313938747651,0.000836455278567628,0.0156525566480109
210095_s_at,210095_s_at,0.315549864675933,9.12177456409515,127.574622049718,0.000867764908069424,0.0160894759560395
216598_s_at,216598_s_at,-0.319830921900216,9.07264397020436,54.7441507365735,0.00094321734068435,0.0173294749593007
205683_x_at,205683_x_at,-0.321418636087114,9.04400440415481,73.8541028987785,0.00102066022878205,0.0185833722735903
209616_s_at,209616_s_at,-0.317496957030174,9.04180653868143,34.8750654469788,0.0011867527853324,0.0214145301710426
211748_x_at,211748_x_at,-0.299395604016825,9.17641892469224,114.524299111419,0.00124086833000254,0.0221928751764172
209189_at,209189_at,-0.308732439320937,9.08497634796312,76.8337584353414,0.00133247655812834,0.023622237929626
211762_s_at,211762_s_at,0.310732168162789,9.04644984302578,336.733239536019,0.00146765317289041,0.025792409238361
204416_x_at,204416_x_at,-0.302703365558752,9.09344786469482,82.3004344328264,0.00159180870247212,0.0277331498939323
213620_s_at,213620_s_at,-0.309827911719353,9.03220853259366,219.779349704739,0.0016224465852922,0.0280253380245772
226694_at,226694_at,-0.303160965863287,9.06228846397395,165.943214701402,0.00179368716100563,0.0307206928168846
